AQI,PM2.5,PM10,SO2,CO,NO2,O3
132,101,115,9,1.3,56,82
123,92,128,13,0.8,45,112
75,47,92,13,1.1,17,106
74,54,46,8,1.3,17,160
70,35,91,2,0.8,4,95
81,31,111,5,1.6,34,67
100,66,136,30,1,30,111
94,67,100,11,0.8,28,140
104,76,120,25,1.1,32,179
77,42,105,18,1,34,127
108,74,139,24,0.8,45,170
120,90,146,17,1,48,170
56,34,58,11,0.7,46,83
62,45,53,8,0.7,45,102
57,38,57,17,0.7,33,133
64,46,30,10,0.7,27,84
82,61,70,21,0.9,60,95
59,42,57,8,1.3,38,98
51,36,41,8,0.7,8,83
28,20,28,9,1.1,21,59
122,78,129,38,0.6,35,102
83,61,82,16,0.6,35,106
71,51,84,12,0.9,28,96
116,86,116,34,1.5,35,125
111,84,109,25,1.2,35,122
161,122,138,45,1.4,36,142
77,56,85,106,1,51,124
106,80,93,33,2.1,26,144
171,130,141,43,0.9,42,144
115,87,109,33,1,26,95
40,15,40,5,0.3,12,120
96,71,112,35,0.8,23,125
32,9,28,3,0.2,6,95
76,56,64,9,1.3,16,133
48,20,50,10,0.3,8,95
103,69,94,40,0.9,45,90
123,95,108,30,0.7,43,93
52,22,56,33,0.8,15,88
98,60,132,33,1.4,36,80
82,60,91,37,1.9,54,79
89,56,105,12,1.1,22,110
55,33,57,31,1.1,30,113
66,47,67,7,0.6,28,108
60,31,68,12,0.9,33,86
61,42,65,10,0.7,17,98
41,17,42,9,0.6,20,105
50,32,50,7,0.6,14,140
113,80,147,14,0.7,17,120
26,14,26,17,0.4,9,76
26,14,22,46,0.5,11,95
49,34,43,4,0.7,27,110
63,41,66,24,0.8,34,84
90,67,90,4,0.9,39,117
62,41,52,32,0.7,58,91
54,38,48,9,0.8,24,85
46,32,35,15,0.6,21,90
60,42,47,18,0.6,19,133
76,55,72,12,0.5,26,74
56,32,59,3,0.7,38,112
74,52,75,7,0.6,22,120
75,54,59,11,0.8,29,102
68,48,69,7,0.7,20,193
42,26,44,14,2.1,34,52
25,8,9,3,0.4,8,111
35,20,36,7,1.1,27,60
37,22,35,5,0.7,20,97
42,30,42,11,0.5,33,51
20,11,20,2,1.1,22,43
36,24,34,10,1.1,14,27
36,24,32,28,1,32,49
33,23,27,20,0.9,33,42
54,39,57,22,1.4,21,29
45,30,39,20,0.8,31,30
36,26,33,16,1.7,28,42
41,29,34,18,1.5,40,21
33,23,30,8,1,18,38
31,18,28,17,1.1,57,21
68,48,79,10,1.1,45,136
81,58,88,15,1.3,50,127
80,59,75,25,1,34,118
88,66,98,10,1.4,31,96
75,54,80,21,0.9,33,109
74,54,70,16,0.7,25,107
93,69,91,7,0.8,30,86
55,36,55,9,1.1,26,95
90,66,79,18,0.8,35,89
82,61,72,13,1,31,83
60,43,51,4,0.8,21,82
61,37,60,14,0.8,36,79
56,39,52,2,1.1,22,92
65,47,59,5,1.3,11,94
70,51,61,21,0.8,28,34
38,27,31,10,1.2,27,47
35,24,31,30,1.2,32,38
84,58,100,7,0.9,12,101
59,41,67,7,1,27,91
36,19,39,30,1.3,18,35
40,28,40,3,1,24,33
40,15,41,8,0.9,18,63
25,17,21,8,0.6,7,57
42,25,43,11,0.8,25,54
47,31,48,12,0.7,25,106
42,24,44,16,0.5,27,67
46,20,54,12,1,26,71
58,40,60,16,1.4,34,61
81,57,90,29,2.2,39,59
45,32,44,6,1.3,18,33
67,49,73,11,1.7,22,24
30,11,24,10,1.4,19,123
61,35,72,9,0.7,27,87
83,61,98,27,1.3,40,131
61,43,57,13,1.3,32,146
62,44,64,8,0.9,25,150
55,37,59,27,0.7,14,120
59,40,52,8,0.8,32,178
66,36,80,3,1.3,47,136
65,48,73,6,0.7,16,91
76,44,102,20,0.8,30,155
28,6,18,8,0.5,4,110
26,10,24,24,0.1,22,69
41,20,36,20,0.7,32,146
101,76,103,22,1,31,101
43,30,22,19,0.7,19,80
33,10,33,12,0.8,30,65
59,21,71,7,1.1,23,79
52,35,52,5,0.8,13,113
32,12,21,15,0.3,11,122
75,54,71,14,0.7,26,126
74,54,82,7,0.5,12,152
125,94,144,8,1.3,42,193
63,41,69,14,0.9,34,124
43,11,44,8,1,19,106
34,10,17,6,1.1,13,144
31,18,26,10,0.5,9,75
45,32,40,4,0.8,9,113
127,97,136,10,1.4,42,116
50,32,42,10,0.8,11,110
53,31,59,4,0.7,30,109
62,38,71,17,1.1,46,90
68,29,87,27,0.9,22,149
83,46,117,19,0.7,29,135
65,46,59,16,0.9,17,93
104,82,89,70,1.1,63,174
45,20,45,14,0.3,8,126
46,16,45,13,0.7,10,128
135,102,93,20,1.4,34,132
57,36,58,7,1.2,20,126
118,67,223,15,1.3,29,80
62,43,57,16,1.2,21,232
200,81,320,16,1.4,33,167
96,61,129,5,1,50,61
46,33,40,10,0.9,15,70
61,42,53,53,1.5,43,98
51,30,58,37,2,45,81
131,91,153,25,1.3,53,171
86,64,82,54,0.5,38,112
64,46,59,8,1,28,119
51,34,37,8,0.8,26,103
129,95,146,28,0.8,34,135
65,40,83,31,1.9,47,142
87,58,99,28,0.7,38,103
32,21,30,3,0.9,11,110
82,58,98,12,1,73,119
137,104,141,23,1.1,41,108
28,17,25,11,0.9,38,31
64,40,77,7,0.8,51,131
69,47,75,16,0.7,24,114
59,32,64,8,0.6,41,119
143,108,184,64,1.9,47,124
102,72,129,12,1.9,61,28
